year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,23,12,-3.9,-6.1,41.0
2009,1,23,13,-3.9,-6.7,57.0
2009,1,23,14,-4.4,-7.2,67.0
2009,1,23,15,-5.0,-8.0,88.0
2009,1,23,16,-6.0,-8.0,77.0
2009,1,23,17,-4.4,-8.3,82.0
2009,1,23,18,-3.9,-7.8,77.0
2009,1,23,19,-2.8,-7.2,67.0
2009,1,23,20,-2.8,-8.3,57.0
2009,1,23,21,-2.8,-8.3,57.0
2009,1,23,22,-2.8,-8.9,62.0
2009,1,23,23,-2.8,-8.9,62.0
2009,1,24,0,-4.4,-10.0,57.0
2009,1,24,1,-7.2,-12.8,82.0
2009,1,24,2,-8.3,-13.9,51.0
2009,1,24,3,-9.4,-15.6,51.0
2009,1,24,4,-10.0,-16.7,62.0
2009,1,24,5,-11.1,-17.8,62.0
2009,1,24,6,,,
2009,1,24,7,-13.3,-18.9,36.0
2009,1,24,8,-14.4,-20.0,31.0
2009,1,24,9,-15.0,-21.1,26.0
2009,1,24,10,-16.1,-21.7,41.0
2009,1,24,11,-16.7,-22.2,46.0
2009,1,24,12,-17.8,-23.3,41.0
2009,1,24,13,-18.9,-23.9,31.0
2009,1,24,14,-20.6,-25.0,31.0
2009,1,24,15,-18.3,-23.9,41.0
2009,1,24,16,-17.8,-23.3,41.0
2009,1,24,17,-16.7,-22.8,41.0
2009,1,24,18,-15.6,-22.2,46.0
2009,1,24,19,-15.0,-22.2,51.0
2009,1,24,20,-13.9,-21.7,36.0
2009,1,24,21,-13.9,-22.2,36.0
2009,1,24,22,-13.9,-22.2,41.0
2009,1,24,23,-15.6,-22.2,51.0
2009,1,25,0,-16.7,-22.8,36.0
2009,1,25,1,-17.8,-22.8,57.0
2009,1,25,2,-18.3,-23.9,62.0
2009,1,25,3,-18.9,-24.4,51.0
2009,1,25,4,-19.4,-25.0,41.0
2009,1,25,5,-19.4,-25.0,36.0
2009,1,25,6,,,
2009,1,25,7,-20.0,-25.0,46.0
2009,1,25,8,-20.0,-25.0,41.0
2009,1,25,9,-19.4,-23.9,31.0
2009,1,25,10,-18.9,-23.3,46.0
2009,1,25,11,-18.3,-23.3,41.0
2009,1,25,12,-17.8,-22.8,31.0
2009,1,25,13,-17.2,-22.8,26.0
2009,1,25,14,-16.7,-22.8,31.0
2009,1,25,15,-16.7,-22.8,36.0
2009,1,25,16,-16.1,-22.2,41.0
2009,1,25,17,-15.0,-21.7,57.0
2009,1,25,18,-13.9,-21.1,51.0
2009,1,25,19,-12.8,-20.0,51.0
2009,1,25,20,-12.2,-20.6,46.0
2009,1,25,21,-11.7,-20.0,46.0
2009,1,25,22,-11.7,-19.4,36.0
2009,1,25,23,-12.8,-19.4,26.0
2009,1,26,0,-13.9,-21.1,21.0
2009,1,26,1,-14.4,-21.7,21.0
2009,1,26,2,-15.6,-21.7,21.0
2009,1,26,3,-16.1,-21.1,31.0
2009,1,26,4,-16.7,-21.1,31.0
2009,1,26,5,-16.1,-21.1,41.0
2009,1,26,6,,,
2009,1,26,7,-17.8,-22.2,26.0
2009,1,26,8,-17.8,-22.2,31.0
2009,1,26,9,-19.4,-23.9,21.0
2009,1,26,10,-19.4,-23.9,26.0
2009,1,26,11,-19.4,-23.9,26.0
2009,1,26,12,-18.9,-23.3,21.0
2009,1,26,13,-20.6,-23.9,21.0
2009,1,26,14,-17.2,-22.2,26.0
